Interest Area,Enjoys Problem Solving,Good at Math,Likes Reading,Prefers Indoor Work,Comfortable with Public Speaking,Preferred Work Style,Interest in Technology,Creativity Level,Analytical Thinking,Leadership Aspiration,Risk Taking,Job Security Preference,Interest in Helping Others,Recommended Career
Science,Yes,No,Yes,Yes,Yes,Hybrid,High,Low,Yes,Maybe,Moderate,Very Important,Yes,Teacher
Commerce,Yes,Yes,Yes,No,Yes,Independent,Low,Medium,Yes,Yes,Low,Somewhat,No,Business Analyst
Arts,Yes,Yes,No,Yes,Yes,Independent,High,Medium,No,Maybe,Moderate,Very Important,No,Teacher
Technology,Yes,No,No,Yes,Yes,Team-based,Low,High,No,Yes,High,Very Important,No,Content Writer
Technology,No,Yes,No,No,Yes,Hybrid,Medium,Low,Yes,Maybe,Low,Very Important,Yes,Marketing
Technology,No,No,Yes,No,Yes,Team-based,High,Medium,No,No,High,Very Important,No,Software Developer
Commerce,No,No,No,Yes,No,Team-based,High,Low,No,Maybe,Low,Somewhat,No,Content Writer
Commerce,Yes,No,Yes,Yes,Yes,Team-based,Low,High,No,Maybe,High,Somewhat,No,Consultant
Social Work,No,Yes,Yes,No,No,Team-based,Medium,Medium,Yes,No,High,Not Important,No,Marketing
Social Work,Yes,No,Yes,Yes,No,Team-based,Low,Low,Yes,Maybe,Moderate,Somewhat,Yes,Social Worker
Science,No,No,Yes,Yes,Yes,Hybrid,High,High,No,Yes,Low,Very Important,Yes,Consultant
Social Work,Yes,No,No,Yes,Yes,Hybrid,Medium,Medium,No,No,Low,Somewhat,Yes,Social Worker
Commerce,Yes,Yes,No,Yes,Yes,Hybrid,High,High,Yes,Maybe,Low,Very Important,Yes,Teacher
Science,No,Yes,Yes,No,No,Team-based,Low,High,No,Yes,Moderate,Somewhat,Yes,Teacher
Science,No,No,No,No,No,Hybrid,High,Low,Yes,Yes,Moderate,Not Important,No,Teacher
Commerce,Yes,Yes,No,Yes,No,Team-based,Medium,Medium,Yes,Yes,Moderate,Not Important,Yes,Business Analyst
Science,Yes,Yes,Yes,Yes,No,Independent,Medium,High,No,Yes,High,Somewhat,Yes,Consultant
Arts,No,No,No,No,Yes,Team-based,Medium,High,Yes,Maybe,Low,Not Important,Yes,Designer
Arts,Yes,Yes,No,Yes,Yes,Hybrid,High,High,Yes,Maybe,High,Not Important,Yes,Designer
Technology,Yes,Yes,Yes,Yes,No,Hybrid,Low,Low,No,No,High,Not Important,No,Marketing
Arts,No,Yes,No,No,No,Team-based,High,Medium,Yes,Yes,Low,Very Important,No,Marketing
Arts,Yes,Yes,No,No,Yes,Independent,Low,Low,No,Maybe,Low,Not Important,Yes,Content Writer
Science,Yes,No,Yes,Yes,Yes,Independent,Medium,Low,Yes,Maybe,Moderate,Very Important,No,Consultant
Arts,Yes,Yes,No,No,Yes,Team-based,Medium,High,No,Yes,Low,Somewhat,No,Designer
Social Work,Yes,Yes,Yes,Yes,Yes,Independent,Low,Low,Yes,No,High,Very Important,No,Content Writer
Science,No,Yes,Yes,Yes,No,Hybrid,Medium,Low,Yes,Yes,High,Very Important,No,Engineer
Science,Yes,No,No,Yes,No,Team-based,Low,High,No,Yes,Moderate,Very Important,Yes,Consultant
